date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:02:10	95800/95800	---M-Z	200	added ('OK')	text/html	etag:W/%2266d82167-17638%22	https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html	C:/My%20Web%20Sites/WWQ/dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html	(from )
02:02:10	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266ce275a-239b%22	https://dccrsorgi.github.io/robots.txt		(from )
02:02:11	4594/4594	---M--	200	added ('OK')	image/png	etag:%2266d82167-11f2%22	https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/favicon.png	C:/My%20Web%20Sites/WWQ/dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/favicon.png	(from https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html)
02:02:11	232827/232827	---M-Z	200	added ('OK')	text/css	etag:W/%2266d82167-38d7b%22	https://dccrsorgi.github.io/DFF9/cdn.jsdelivr.net/npm/bootstrap%405.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/WWQ/dccrsorgi.github.io/DFF9/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html)
02:02:12	0/0	---M--	200	added ('OK')	text/css	etag:%2266d82167-0%22	https://dccrsorgi.github.io/DFF9//material-icons.css	C:/My%20Web%20Sites/WWQ/dccrsorgi.github.io/DFF9/material-icons.css	(from https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html)
02:02:12	1534/1534	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%2266d82167-5fe%22	https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/manifest.webmanifest	C:/My%20Web%20Sites/WWQ/dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/manifest.webmanifest	(from https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html)
02:02:13	234371/234371	---M--	200	added ('OK')	image/png	etag:%2266d82167-39383%22	https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/banner2.png	C:/My%20Web%20Sites/WWQ/dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/banner2.png	(from https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html)
02:02:13	346752/346752	---M-Z	200	added ('OK')	text/css	etag:W/%2266d82167-54a80%22	https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/styles.d9a92685a7b2d205a93d.css	C:/My%20Web%20Sites/WWQ/dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/styles.d9a92685a7b2d205a93d.css	(from https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html)
02:02:14	94546/94546	---M--	200	added ('OK')	image/png	etag:%2266d82167-17152%22	https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/WWQ/dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html)
02:02:15	3853/3853	---M--	200	added ('OK')	image/png	etag:%2266d82167-f0d%22	https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/crs-logo.png	C:/My%20Web%20Sites/WWQ/dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/crs-logo.png	(from https://dccrsorgi.github.io/DFF9/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificatef740.html)
